Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Americana,2020,70937.50,1501.10,432.10,126.90,619.10,130.70,192.30
Artur Nogueira,2020,11673.00,,,,,,
Arujá,2020,26400.00,518.90,157.30,106.10,25.60,84.80,145.10
Barueri,2020,94560.00,3640.00,1280.00,1460.00,360.00,360.00,180.00
Bertioga,2020,40240.40,571.30,,,,,
Biritiba-Mirim,2020,6069.40,38.70,15.80,12.30,2.10,6.40,2.10
Caieiras,2020,5024.00,20.00,,,,,
Cajamar,2020,28800.00,,,,,,
Campinas,2020,465592.70,1563.60,1003.30,264.60,93.40,171.20,31.10
Carapicuíba,2020,135582.50,,,,,,
Cosmópolis,2020,14832.30,,,,,,
Cotia,2020,115784.20,2466.10,1341.00,261.60,153.20,710.30,0.00
Cubatão,2020,49618.70,563.00,275.00,244.00,18.00,26.00,0.00
Diadema,2020,116746.00,1332.00,,,,,
Embu das Artes,2020,403436.90,386.50,,,,,
Embu-Guaçu,2020,15600.00,,,,,,
Engenheiro Coelho,2020,4639.60,115.00,36.00,30.00,13.00,36.00,0.00
Ferraz de Vasconcelos,2020,91320.00,,,,,,
Francisco Morato,2020,50195.80,,,,,,
Franco da Rocha,2020,36000.00,,,,,,
Guararema,2020,13509.30,457.50,164.40,76.10,79.10,114.00,23.90
Guarujá,2020,154447.70,1366.60,669.60,492.00,54.70,150.30,0.00
Guarulhos,2020,432879.40,1738.70,665.00,446.00,313.00,308.00,6.70
Holambra,2020,4535.00,400.00,130.00,60.00,50.00,120.00,40.00
Hortolândia,2020,57988.00,478.00,200.70,95.30,85.10,42.50,54.40
Indaiatuba,2020,97826.70,807.00,339.00,191.00,169.00,68.00,40.00
Itanhaém,2020,41736.10,139.00,82.40,24.00,7.90,24.70,0.00
Itapecerica da Serra,2020,57104.00,909.30,493.70,261.90,1.70,80.70,71.30
Itapevi,2020,70429.00,,,,,,
Itaquaquecetuba,2020,152000.00,,,,,,
Itatiba,2020,33275.60,787.70,371.60,190.90,58.50,156.80,9.90
Jaguariúna,2020,18583.10,914.80,384.60,181.00,75.70,267.20,6.30
Juquitiba,2020,6106.00,,,,,,
Mairiporã,2020,32264.00,228.20,131.20,37.50,1.30,58.20,0.00
Mauá,2020,136919.80,276.50,139.40,58.00,15.60,61.30,2.20
Mogi das Cruzes,2020,139406.10,3289.00,1291.60,283.80,1034.80,678.80,0.00
Mongaguá,2020,25846.40,15.00,,,,,
Monte Mor,2020,15319.60,7.00,0.00,0.00,0.00,0.00,7.00
Nova Odessa,2020,17141.00,380.00,20.00,145.00,170.00,45.00,0.00
Osasco,2020,257886.00,1152.00,576.00,345.00,138.00,92.00,1.00
Paulínia,2020,31914.30,1125.30,633.60,297.70,44.30,149.70,0.00
Pedreira,2020,15900.00,844.00,318.00,217.00,138.00,88.00,83.00
Peruíbe,2020,41215.00,,,,,,
Poá,2020,40340.20,1000.00,,,,,
Praia Grande,2020,186894.90,2161.30,832.00,369.00,13.30,384.00,563.00
Ribeirão Pires,2020,27841.00,297.00,,,,,
Rio Grande da Serra,2020,10000.00,,,,,,
Salesópolis,2020,3591.10,721.70,348.80,95.60,91.20,99.30,86.80
Santa Bárbara D Oeste,2020,81050.50,100.50,,,,,
Santa Isabel,2020,14876.00,60.00,,,,,
Santana de Parnaíba,2020,75355.00,3302.00,1730.00,570.00,115.00,757.00,130.00
Santo André,2020,239540.00,3272.00,1313.00,714.00,454.00,594.00,197.00
Santo Antônio de Posse,2020,6590.50,574.90,262.60,115.80,84.10,89.70,22.70
Santos,2020,202702.60,9165.10,4976.20,1077.90,674.00,728.40,1708.60
São Bernardo do Campo,2020,264522.90,7565.60,,,,,
São Caetano do Sul,2020,64841.30,929.60,308.30,254.40,64.30,244.30,58.30
São Lourenço da Serra,2020,3564.00,22.00,3.00,4.00,10.00,5.00,0.00
São Paulo,2020,3782266.00,48083.00,8785.00,17571.00,1228.00,0.00,20499.00
São Vicente,2020,107504.60,1233.90,342.70,245.50,374.80,160.10,110.80
Sumaré,2020,72000.00,,,,,,
Suzano,2020,87641.90,29.70,15.00,6.70,1.20,6.80,0.00
Taboão da Serra,2020,90430.90,377.00,158.00,98.00,1.00,37.00,83.00
Valinhos,2020,41580.00,1920.00,,,,,
Vargem Grande Paulista,2020,14418.00,,,,,,
Vinhedo,2020,37472.90,1339.00,781.00,193.00,92.00,273.00,0.00
---,---,9092309.40,110186.10,31006.90,27222.60,6924.00,7409.20,24355.50
---,---,9092309.40,110186.10,31006.90,27222.60,6924.00,7409.20,24355.50
